InventoryID,Company,TypeName,GPU,Screen,Memory,Weight,Rating,Price
6,Asus,Gaming,Nvidia,17.3,16,2.9,1,2122
15,Asus,Gaming,Nvidia,17.3,16,2.73,3,2049.9
17,Asus,Gaming,Nvidia,15.6,16,2.5,4,1799
18,Asus,Gaming,Nvidia,17.3,16,4,10,998
38,Asus,Gaming,Nvidia,15.6,8,2.3,6,1649
40,Asus,Gaming,Nvidia,17.3,8,3,9,1168
41,Asus,Gaming,Nvidia,15.6,8,2.5,4,1169
45,Asus,Gaming,Nvidia,15.6,8,2.591,6,909
46,Asus,Gaming,Nvidia,15.6,8,2.2,8,1169
47,Asus,Notebook,Nvidia,15.6,16,2.2,4,1749
49,Asus,Notebook,Nvidia,17.3,4,2.8,3,466
51,Asus,Notebook,Intel,15.6,4,2,5,415
54,Asus,Notebook,Intel,15.6,4,2,9,344
57,Asus,Notebook,AMD,15.6,4,2.2,4,575
64,Asus,Notebook,AMD,15.6,4,2,7,349
74,Asus,Notebook,Intel,15.6,4,2,5,398.99
76,Asus,Notebook,Nvidia,17.3,4,2.8,8,530
80,Asus,Notebook,Intel,14,4,2,4,769
81,Asus,Notebook,Intel,15.6,4,2.65,10,309
85,Asus,Notebook,Nvidia,15.6,4,2.2,6,720.32
90,Asus,Notebook,Nvidia,15.6,8,2.3,1,522.99
91,Asus,Notebook,Intel,14,8,1.4,5,941
96,Asus,Notebook,Nvidia,17.3,8,2.69,1,889
98,Asus,Notebook,Intel,14,8,2,1,1334
110,Asus,Notebook,Nvidia,15.6,8,2.3,10,787
113,Asus,Ultrabook,Nvidia,15.6,16,1.8,6,1983
116,Asus,Ultrabook,Intel,13.3,16,1.1,8,1748.9
124,Asus,Ultrabook,Intel,14,8,1.1,2,1873
127,Asus,Ultrabook,Nvidia,13.3,8,1.45,8,1026
128,Asus,Ultrabook,Intel,13.3,8,1.45,3,1280
129,Asus,Ultrabook,Intel,13.3,8,1.2,8,729
144,Dell,Gaming,Nvidia,15.6,16,4.42,1,2868.99
147,Dell,Gaming,Nvidia,17.3,16,4.36,6,2505.02
148,Dell,Gaming,Nvidia,15.6,16,3.21,6,2774.63
149,Dell,Gaming,Nvidia,15.6,16,2.6,1,1349
154,Dell,Gaming,Nvidia,15.6,8,2.62,3,899
155,Dell,Gaming,Nvidia,15.6,8,2.56,6,1060.49
168,Dell,Notebook,AMD,15.6,16,2.02,3,1049
170,Dell,Notebook,Nvidia,15.6,16,2.06,1,2397
172,Dell,Notebook,AMD,15.6,16,2.36,2,899
184,Dell,Notebook,AMD,15.6,4,2.3,9,639
187,Dell,Notebook,Intel,15.6,4,2.18,2,657
191,Dell,Notebook,AMD,15.6,4,2.3,3,598.9
199,Dell,Notebook,AMD,15.6,4,2.18,10,465
201,Dell,Notebook,Intel,15.6,4,2.25,6,359
208,Dell,Notebook,Intel,14,4,1.76,10,585
209,Dell,Notebook,AMD,15.6,4,2.18,1,739
210,Dell,Notebook,Nvidia,15.6,4,2.18,10,912.5
212,Dell,Notebook,AMD,15.6,4,2.18,1,455.7
213,Dell,Notebook,AMD,15.6,4,2.18,5,614
215,Dell,Notebook,Intel,15.6,4,1.95,2,729.9
225,Dell,Notebook,Intel,15.6,4,2.2,7,393.49
235,Dell,Notebook,Intel,15.6,6,2.3,6,439
237,Dell,Notebook,Intel,15.6,6,2.3,5,459
252,Dell,Notebook,AMD,15.6,8,2.2,10,677.35
254,Dell,Notebook,AMD,15.6,8,2.2,10,985
257,Dell,Notebook,AMD,15.6,8,2.14,5,735.07
274,Dell,Notebook,Intel,14,8,1.79,7,740
279,Dell,Notebook,AMD,17.3,8,2.8,7,889
282,Dell,Notebook,AMD,15.6,8,2.2,5,797.41
284,Dell,Notebook,AMD,15.6,8,2.2,10,749.01
285,Dell,Notebook,Intel,15.6,8,1.9,1,1008.52
287,Dell,Notebook,AMD,15.6,8,2.2,9,919
288,Dell,Notebook,Intel,14,8,1.56,7,1229
291,Dell,Notebook,Nvidia,14,8,1.64,6,1089
293,Dell,Notebook,Intel,15.6,8,1.9,6,1179
298,Dell,Notebook,Intel,14,8,1.6,10,1126.71
299,Dell,Notebook,Intel,15.6,8,1.95,6,810
302,Dell,Notebook,Nvidia,15.6,8,1.98,8,961
307,Dell,Notebook,Intel,13.3,8,1.62,4,649
314,Dell,Notebook,Intel,15.6,8,2.18,1,750
318,Dell,Notebook,Nvidia,15.6,8,2.04,7,2250.68
322,Dell,Notebook,AMD,15.6,8,2.3,3,805.99
323,Dell,Notebook,AMD,15.6,8,2.3,3,805.99
325,Dell,Ultrabook,Intel,13.3,16,1.2,4,1869
326,Dell,Ultrabook,Intel,13.3,16,1.21,9,2499
328,Dell,Ultrabook,Intel,12.5,16,1.18,1,1859
332,Dell,Ultrabook,AMD,13.3,4,1.4,8,818.35
342,Dell,Ultrabook,Intel,13.3,8,1.21,4,1629
344,Dell,Ultrabook,Intel,13.3,8,1.21,4,1949
349,Dell,Ultrabook,Nvidia,15.6,8,1.9,4,1049
351,Dell,Ultrabook,AMD,15.6,8,1.9,2,663
361,Dell,Ultrabook,Intel,12.5,8,1.6,1,1690
387,HP,Notebook,AMD,15.6,4,1.86,4,258
396,HP,Notebook,Intel,15.6,4,1.86,4,259
397,HP,Notebook,Intel,13.3,4,1.32,1,699
399,HP,Notebook,Intel,13.3,4,1.49,1,754
402,HP,Notebook,Intel,13.3,4,1.49,1,675
408,HP,Notebook,Intel,15.6,4,2.1,9,347
413,HP,Notebook,Intel,15.6,4,2.1,2,705.5
415,HP,Notebook,Intel,13.3,4,1.49,6,719
416,HP,Notebook,Intel,15.6,4,2.1,1,668.48
420,HP,Notebook,AMD,15.6,4,1.86,7,612.61
429,HP,Notebook,Intel,15.6,4,2.04,2,685
435,HP,Notebook,Intel,14,4,1.48,4,1590
437,HP,Notebook,Intel,15.6,4,2.04,4,769.99
440,HP,Notebook,Intel,14,4,1.64,8,973
441,HP,Notebook,Intel,15.6,4,2.04,6,742
444,HP,Notebook,Intel,15.6,4,2.31,9,705.15
448,HP,Notebook,Intel,14,4,1.54,2,1030.99
454,HP,Notebook,AMD,15.6,4,1.91,9,478.89
455,HP,Notebook,Intel,15.6,4,2.1,4,476.99
459,HP,Notebook,Intel,14,4,1.54,4,1099.99
464,HP,Notebook,AMD,15.6,6,1.91,1,568.9
466,HP,Notebook,AMD,15.6,6,2.04,9,539
467,HP,Notebook,AMD,17.3,6,2.65,6,569
469,HP,Notebook,AMD,15.6,6,2.1,10,650
478,HP,Notebook,AMD,15.6,6,2.19,10,764
479,HP,Notebook,Intel,15.6,8,1.86,4,575
481,HP,Notebook,Nvidia,15.6,8,2.1,10,879
487,HP,Notebook,AMD,15.6,8,1.91,7,719
497,HP,Notebook,Nvidia,14,8,1.63,6,1031
498,HP,Notebook,Intel,15.6,8,2.1,10,794
504,HP,Notebook,Intel,14,8,1.95,6,980
506,HP,Notebook,Intel,15.6,8,2.1,3,902
512,HP,Notebook,Intel,15.6,8,2.04,4,389
516,HP,Notebook,AMD,15.6,8,1.9,1,1154
524,HP,Notebook,Intel,14,8,2.31,2,1124
528,HP,Notebook,Intel,15.6,8,1.86,9,539
540,HP,Notebook,Intel,15.6,8,2.04,3,806
542,HP,Notebook,Nvidia,14,8,1.64,9,1049.26
544,HP,Notebook,Intel,13.3,8,1.11,4,1149
547,HP,Notebook,Intel,14,8,1.95,6,1195
552,HP,Notebook,Nvidia,15.6,8,1.91,2,979
560,HP,Notebook,Intel,15.6,8,1.96,6,679
561,HP,Notebook,Intel,15.6,8,1.91,6,579
564,HP,Ultrabook,Intel,14,4,1.48,1,1082
578,HP,Ultrabook,Intel,13.3,8,1.32,10,1399
586,HP,Ultrabook,Intel,13.3,8,1.11,1,1349
587,HP,Ultrabook,Intel,14,8,1.48,3,2089
592,HP,Ultrabook,Intel,13.3,8,1.16,4,1969
594,HP,Ultrabook,Intel,15.6,8,1.84,7,752
595,HP,Ultrabook,Intel,15.6,8,1.88,10,2171.72
601,Lenovo,Gaming,Nvidia,15.6,16,3.2,6,1499
603,Lenovo,Gaming,Nvidia,15.6,16,2.4,10,1129
605,Lenovo,Gaming,Nvidia,17.3,16,4.6,7,2289.99
607,Lenovo,Gaming,Nvidia,17.3,16,4.6,6,2749.99
612,Lenovo,Gaming,Nvidia,15.6,8,2.4,10,869
620,Lenovo,Gaming,Nvidia,15.6,8,3.31,9,1196
625,Lenovo,Gaming,Nvidia,15.6,8,2.4,3,989
627,Lenovo,Gaming,Nvidia,15.6,8,2.6,8,1272
635,Lenovo,Notebook,Intel,15.6,4,2.2,8,369
636,Lenovo,Notebook,Intel,15.6,4,1.9,2,549
645,Lenovo,Notebook,Intel,15.6,4,2.2,4,467
658,Lenovo,Notebook,Intel,14,4,1.7,3,599
663,Lenovo,Notebook,Intel,14,4,1.87,6,785
665,Lenovo,Notebook,Intel,15.6,4,2.2,8,499
666,Lenovo,Notebook,Intel,15.6,4,2.05,2,630
668,Lenovo,Notebook,Intel,14,4,2.02,5,990
670,Lenovo,Notebook,Intel,17.3,4,2.8,2,529
671,Lenovo,Notebook,Intel,15.6,4,2.2,3,468
674,Lenovo,Notebook,Intel,14,4,1.43,2,274
678,Lenovo,Notebook,Intel,15.6,4,2.1,4,318
688,Lenovo,Notebook,Intel,14,4,1.5,3,325
691,Lenovo,Notebook,AMD,15.6,4,2.2,4,479
694,Lenovo,Notebook,Intel,13.3,4,1.44,9,881
695,Lenovo,Notebook,Intel,15.6,4,2.2,6,309
697,Lenovo,Notebook,Intel,15.6,4,1.9,5,270.62
698,Lenovo,Notebook,Nvidia,15.6,4,2.3,4,977
702,Lenovo,Notebook,Nvidia,15.6,4,2.2,3,468
703,Lenovo,Notebook,Intel,15.6,4,2.1,6,398
717,Lenovo,Notebook,AMD,15.6,6,2.2,9,597.57
730,Lenovo,Notebook,Intel,15.6,8,2.2,5,589
735,Lenovo,Notebook,Intel,15.6,8,2.05,10,739
740,Lenovo,Notebook,Nvidia,14,8,1.5,1,1099
742,Lenovo,Notebook,Intel,14,8,1.9,8,938
743,Lenovo,Notebook,AMD,15.6,8,2.1,6,1144.5
751,Lenovo,Notebook,Nvidia,15.6,8,2.3,6,1011.99
752,Lenovo,Notebook,Intel,15.6,8,2.17,10,898.9
754,Lenovo,Notebook,Intel,15.6,8,2.3,8,911
